X1 Y1 EntropyCF1 X2 Y2 EntropyCF2 X3 Y3 EntropyCF3 TimeDifference
1.5011591510033742 -1.4996852298993102 2.0 0.0017211108875471689 -1.5 2.0 -1.4982788860544458 -1.5 2.0 1.206566333770752
1.4965949092590465 -1.486470007585157 2.0 0.03331919719764558 -1.499968788842699 2.0 -1.4667012907537789 -1.4999820095776002 2.0 2.717421770095825
1.4484646147492395 -1.4702153678559287 2.0 0.10237413806973562 -1.499033860149006 2.0 -1.3981182813910884 -1.4996041010499264 2.0 4.227946043014526
1.3752107585242563 -1.465338400965289 2.0 0.18059389856330338 -1.4972638736480852 2.0 -1.3203627132124636 -1.4989121287717049 2.0 5.736360549926758
1.3024971986187792 -1.4667499426155644 1.9548250943213752 0.252013146867207 -1.4951845276993194 1.9548250943213752 -1.2491550951323867 -1.4980662921872272 2.0 7.245563983917236
1.235260812282818 -1.4683365208398191 1.8268690716472675 0.31780378756201205 -1.4933856457739318 1.8268690716472675 -1.1832846311189256 -1.4972590217478798 2.0 8.753576755523682
1.1689565959199077 -1.4687891052485036 1.6904899486306237 0.38341949056140895 -1.492102272646323 1.6904899486306237 -1.1173752814263944 -1.4967743314554087 2.0 10.262253284454346
1.0992107234499855 -1.4699493203045062 1.5356801925589312 0.45101820367288936 -1.491061664913901 1.5356801925589312 -1.0494991431281129 -1.4968959367858343 2.0 11.772343158721924
1.024713831639587 -1.4728571946137479 1.3549991403432102 0.5200964717340985 -1.4899342423212438 1.3549991403432102 -0.9802681597191737 -1.497088816750977 2.0 13.286025285720825
0.951989568969857 -1.4762374387497512 1.1535077001482419 0.5862866490207101 -1.488531315642533 1.1535077001482419 -0.9140798856276948 -1.4967993321970663 2.0 14.799437046051025
0.8877157458591433 -1.4786088611246344 1.1281521496355325 0.6459159079632703 -1.486472384543566 1.1281521496355325 -0.8539907121189955 -1.496070689625005 2.0 16.31072974205017
0.8535742156499512 -1.462917559826608 1.1281521496355325 0.6774270985146734 -1.468749902845714 1.1281521496355325 -0.7963882766473065 -1.495023790375259 2.0 17.819574117660522
0.8562746052135443 -1.424194385430583 1.1281521496355325 0.6728939696423897 -1.4306646080111645 1.1281521496355325 -0.7358739767328882 -1.493778779739941 2.0 19.328572750091553
0.8659408890581218 -1.3957027619828974 1.1281521496355325 0.6723393733819786 -1.3957683934020344 1.1281521496355325 -0.6755508700477976 -1.4920320298762293 2.0 20.83598041534424
0.8887712916005949 -1.3960404079675488 1.1281521496355325 0.6780620838082019 -1.366330486197293 1.1281521496355325 -0.6125170798529529 -1.488850799828372 2.0 22.34400200843811
0.9027451995993393 -1.4177857479773979 1.1281521496355325 0.6547917507260828 -1.3530071172150915 1.1281521496355325 -0.5484983103515705 -1.4844908489753723 2.0 23.85272216796875
0.8929273096500466 -1.4467158427890627 1.1281521496355325 0.6155233593235799 -1.3470082624356925 1.1281521496355325 -0.4889835181539827 -1.4804640717888113 2.0 25.36138105392456
0.8822578660751448 -1.470156543854432 1.1281521496355325 0.5780305849867756 -1.3369531238292478 1.0507001207110918 -0.42864245571818893 -1.4776121355902563 1.9225479710755593 26.872570753097534
0.8611862883392298 -1.4755478503786799 1.1281521496355325 0.5492726924532293 -1.3297656879818727 0.9662228769673868 -0.36817554216391907 -1.476375246914374 1.8380707273318544 28.380292177200317
0.8232494004733142 -1.4577390099579852 1.1281521496355325 0.5270029253232729 -1.2951763301744328 0.8898979229152841 -0.30706896575898324 -1.4763911640008318 1.7617457732797517 29.889216661453247
0.7763452599403469 -1.4286254012191526 1.0577289059362505 0.5071003716252045 -1.2531124959324107 0.8187345100170784 -0.24642913581666906 -1.4765859593273274 1.6201591166822644 31.401042699813843
0.7447953843807201 -1.4003992613460627 0.9681682616460803 0.4835097017688947 -1.2184628875472645 0.7400127984361289 -0.18325294705042053 -1.4751798631189013 1.4518767608111447 32.9141366481781
0.7343274507361788 -1.3743552907417416 0.8992277287670083 0.45920210936158906 -1.1894621920806232 0.6619508864018369 -0.12270258278937995 -1.4721789766327782 1.3048743158977807 34.42370271682739
0.7145838041580821 -1.343783768309057 0.8217162156469917 0.43660951289641653 -1.159640044933561 0.5903598883568675 -0.06442597792669348 -1.4673172849092204 1.1557718047327947 35.940619468688965
0.6827377585330164 -1.3056546344761917 0.7288865811876506 0.4146253395132982 -1.1246625600477838 0.5247528984163523 -0.0051016080636521665 -1.4586370601893042 0.9973351803329384 37.45020365715027
0.6515385249544577 -1.2653107128405385 0.6765954346080223 0.3945380187867474 -1.0886531004724775 0.49220028378693925 0.012958093679929183 -1.4295424067629408 0.9124914191238966 38.966060161590576
