X1 Y1 EntropyDrone1 X2 Y2 EntropyDrone2 X3 Y3 EntropyDrone3 TimeDifference
1.3830730723023155e-13 25.0000000576668 2.0 -99.9999999999997 25.000000047981352 2.0 -199.9999999999996 25.000000064530767 2.0 0.03266477584838867
-4.022143912152387e-05 25.00007700335118 2.0 -99.99995996510916 25.000069680376328 2.0 -199.99997800624988 25.00008975253877 2.0 0.06878781318664551
-0.00038010207936167717 25.000520962290466 2.0 -99.9996195602289 25.000491388782393 2.0 -199.99970850907266 25.00058630038984 2.0 0.10239291191101074
-0.0014961351407691836 25.001791816670448 2.0 -99.99850433238316 25.00172915228177 2.0 -199.99869118921924 25.00193180248607 2.0 0.1411888599395752
-0.003444775240495801 25.003914278466254 2.0 -99.99655423173681 25.003822404658422 2.0 -199.99684109608643 25.0041185435839 2.0 0.1810595989227295
-0.006019153632223606 25.006625182926655 2.0 -99.99397614086047 25.006507652811706 2.0 -199.99436364183202 25.006884911563247 2.0 0.21512198448181152
-0.009063192643225193 25.00976382661611 2.0 -99.9909267295152 25.009623693302274 2.0 -199.99110740143806 25.01039218623191 2.0 0.25092005729675293
-0.01278052106499672 25.013529621064663 2.0 -99.98720183037221 25.013367570005357 2.0 -199.98741860315204 25.014260290190578 2.0 0.283219575881958
-0.01763109490275383 25.01835123822093 2.0 -99.9823405444622 25.018165649846196 2.0 -199.9830320775509 25.018752373754978 2.0 0.31706953048706055
-0.02490178495645523 25.025416871532798 2.0 -99.97505233809352 25.02520182915032 2.0 -199.97588859312236 25.025876615196466 2.0 0.3628709316253662
-0.031116440892219543 25.0313206538558 2.0 -99.96882227808237 25.031083738431334 2.0 -199.9697685688734 25.031822346150875 2.0 0.39519405364990234
-0.038103073835372925 25.03782245889306 2.0 -99.9618175290525 25.03756306692958 2.0 -199.96287736296654 25.03836551308632 2.0 0.4300553798675537
-0.04663245379924774 25.045577932149172 2.0 -99.95326541364193 25.04529243707657 2.0 -199.95445200428367 25.046163830906153 2.0 0.46390342712402344
-0.05613749846816063 25.05399950221181 2.0 -99.94373445212841 25.053686130791903 2.0 -199.94422329962254 25.055361807346344 2.0 0.5021438598632812
-0.06664643436670303 25.063056707382202 2.0 -99.93227224051952 25.06349355727434 2.0 -199.93373378366232 25.064511246979237 2.0 0.5396850109100342
-0.08021311461925507 25.07437777519226 2.0 -99.91959358006716 25.073998399078846 2.0 -199.9212035909295 25.075095146894455 2.0 0.5791287422180176
-0.09410303831100464 25.085564464330673 2.0 -99.90566627681255 25.085147857666016 2.0 -199.90631699562073 25.087217658758163 2.0 0.6227123737335205
-0.10684981942176819 25.09549504518509 2.0 -99.89288559556007 25.09504324197769 2.0 -199.89478010684252 25.096297845244408 2.0 0.6558136940002441
-0.12053459882736206 25.105816014111042 2.0 -99.87916302680969 25.105325423181057 2.0 -199.88119495660067 25.10665638744831 2.0 0.6880853176116943
-0.13521230220794678 25.116500534117222 2.0 -99.8644450455904 25.115966737270355 2.0 -199.86662118136883 25.11737745255232 2.0 0.7208585739135742
-0.15088504552841187 25.12750194966793 2.0 -99.84873108565807 25.12691967189312 2.0 -199.85104513168335 25.128417119383812 2.0 0.7544722557067871
-0.16750748455524445 25.1387597322464 2.0 -99.83206836879253 25.13812381029129 2.0 -199.83451315760612 25.139714270830154 2.0 0.7865340709686279
-0.18503855168819427 25.150218412280083 2.0 -99.8144961297512 25.149524688720703 2.0 -199.81543651223183 25.152267634868622 2.0 0.8214104175567627
-0.20515911281108856 25.16289085149765 2.0 -99.79433083534241 25.16212797164917 2.0 -199.79703275859356 25.163930997252464 2.0 0.8571319580078125
-0.22448430955410004 25.174617409706116 2.0 -99.77496474981308 25.173786833882332 2.0 -199.7777844965458 25.17569860816002 2.0 0.8889174461364746
-0.24276210367679596 25.185334861278534 2.0 -99.7566495090723 25.18443900346756 2.0 -199.7595749795437 25.18645405769348 2.0 0.918926477432251
-0.26362845301628113 25.19715304672718 2.0 -99.73574286699295 25.19618158042431 2.0 -199.73685336112976 25.199393525719643 2.0 0.9525582790374756
-0.2892886698246002 25.21111525595188 2.0 -99.7100358903408 25.210050582885742 2.0 -199.71320596337318 25.212328106164932 2.0 0.9904539585113525
-0.31182801723480225 25.22289241850376 2.0 -99.6874580681324 25.221745401620865 2.0 -199.6907349228859 25.224147111177444 2.0 1.0235381126403809
-0.33296364545822144 25.233545124530792 2.0 -99.66628941893578 25.2323207706213 2.0 -199.66966024041176 25.234836742281914 2.0 1.0530948638916016
-0.3547045588493347 25.244126841425896 2.0 -99.64451757073402 25.242823734879494 2.0 -199.64798066020012 25.24545466899872 2.0 1.0843205451965332
-0.37704238295555115 25.254619896411896 2.0 -99.61988121271133 25.25427308678627 2.0 -199.6234447658062 25.25703153014183 2.0 1.1163825988769531
-0.4046252369880676 25.26707249879837 2.0 -99.59453377127647 25.265592873096466 2.0 -199.59819757938385 25.26848077774048 2.0 1.1499643325805664
